Train Dataset,Anomaly Dataset,Inference time,tn,tp,fn,fp,Precision,Recall,F1-Score,Threshold
audio_classification.csv,audio_classification.csv,0.12110042572021484,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.41478658426253434
audio_classification.csv,face_detection.csv,0.12048482894897461,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.41478658426253434
audio_classification.csv,face_landmarking.csv,0.11867284774780273,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.41478658426253434
audio_classification.csv,gesture_recognition.csv,0.11913728713989258,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.41478658426253434
audio_classification.csv,hand_landmarking.csv,0.12563776969909668,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.41478658426253434
audio_classification.csv,idle1.csv,0.11671781539916992,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.41478658426253434
audio_classification.csv,idle2.csv,0.11919713020324707,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.41478658426253434
audio_classification.csv,object_detection.csv,0.1301887035369873,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.41478658426253434
audio_classification.csv,pose_landmarking.csv,0.1254420280456543,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.41478658426253434
face_detection.csv,audio_classification.csv,0.1201329231262207,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.16293176670364462
face_detection.csv,face_detection.csv,0.11986637115478516,0,7,3,1,0.875,0.7,0.7777777777777777,0.16293176670364462
face_detection.csv,face_landmarking.csv,0.11962604522705078,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.16293176670364462
face_detection.csv,gesture_recognition.csv,0.11819243431091309,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.16293176670364462
face_detection.csv,hand_landmarking.csv,0.13067913055419922,0,10,0,1,0.9090909090909091,1.0,0.9523809523809523,0.16293176670364462
