Train Dataset,Anomaly Dataset,Inference time,tn,fp,fn,tp,Precision,Recall,F1-Score,Threshold
face_detection_rpi.csv,audio_classification_rpi.csv,0.04357481002807617,1,0,0,1,1.0,1.0,1.0,0.42586572449402044
face_detection_rpi.csv,face_detection.csv,0.04489779472351074,1,0,0,1,1.0,1.0,1.0,0.44387575179259176
face_detection_rpi.csv,face_landmarking.csv,0.04455828666687012,1,0,0,1,1.0,1.0,1.0,0.4558540241667194
face_detection_rpi.csv,face_landmarking_rpi.csv,0.044507503509521484,1,0,0,1,1.0,1.0,1.0,0.41939145268983685
face_detection_rpi.csv,gesture_recognition.csv,0.04703402519226074,1,0,0,1,1.0,1.0,1.0,0.42094139304555633
face_detection_rpi.csv,gesture_recognition_rpi.csv,0.04756450653076172,1,0,0,1,1.0,1.0,1.0,0.41039637273539314
face_detection_rpi.csv,hand_landmarking.csv,0.04466986656188965,1,0,0,1,1.0,1.0,1.0,0.39963464446913055
face_detection_rpi.csv,hand_landmarking_rpi.csv,0.04467058181762695,1,0,0,1,1.0,1.0,1.0,0.46810888122419414
face_detection_rpi.csv,idle1.csv,0.044164180755615234,1,0,0,1,1.0,1.0,1.0,0.41039637273539314
face_detection_rpi.csv,idle2.csv,0.04712843894958496,1,0,0,1,1.0,1.0,1.0,0.4372385018928896
face_detection_rpi.csv,object_detection.csv,0.04515576362609863,1,0,0,1,1.0,1.0,1.0,0.4371038892182796
face_detection_rpi.csv,object_detection_rpi.csv,0.04471158981323242,1,0,0,1,1.0,1.0,1.0,0.4268668331711901
face_detection_rpi.csv,pose_landmarking.csv,0.045911312103271484,1,0,0,1,1.0,1.0,1.0,0.41303833294886894
face_detection_rpi.csv,pose_landmarking_rpi.csv,0.044179677963256836,1,0,0,1,1.0,1.0,1.0,0.4255565869700642
face_landmarking.csv,audio_classification.csv,0.04769468307495117,1,0,0,1,1.0,1.0,1.0,0.5146633952956455
face_landmarking.csv,audio_classification_rpi.csv,0.04580330848693848,1,0,0,1,1.0,1.0,1.0,0.45307534090893486
face_landmarking.csv,face_detection.csv,0.045586347579956055,1,0,0,1,1.0,1.0,1.0,0.43616804939608633
face_landmarking.csv,face_detection_rpi.csv,0.044764041900634766,1,0,0,1,1.0,1.0,1.0,0.42659653002708525
face_landmarking.csv,face_landmarking_rpi.csv,0.045394182205200195,1,0,0,1,1.0,1.0,1.0,0.46226295504649606
face_landmarking.csv,gesture_recognition.csv,0.04535865783691406,1,0,0,1,1.0,1.0,1.0,0.41440273236847847
face_landmarking.csv,gesture_recognition_rpi.csv,0.04424881935119629,1,0,0,1,1.0,1.0,1.0,0.4532147545924818
face_landmarking.csv,hand_landmarking.csv,0.04369401931762695,1,0,0,1,1.0,1.0,1.0,0.4412887221357869
face_landmarking.csv,hand_landmarking_rpi.csv,0.04399585723876953,1,0,0,1,1.0,1.0,1.0,0.4702778095236327
face_landmarking.csv,idle1.csv,0.045154571533203125,1,0,0,1,1.0,1.0,1.0,0.42820944001414707
face_landmarking.csv,idle2.csv,0.044081926345825195,1,0,0,1,1.0,1.0,1.0,0.4887533483976764
face_landmarking.csv,object_detection.csv,0.04506206512451172,1,0,0,1,1.0,1.0,1.0,0.42085229897124876
face_landmarking.csv,object_detection_rpi.csv,0.04549145698547363,1,0,0,1,1.0,1.0,1.0,0.4426549151038448
face_landmarking.csv,pose_landmarking.csv,0.04376220703125,1,0,0,1,1.0,1.0,1.0,0.44785852298820694
face_landmarking.csv,pose_landmarking_rpi.csv,0.045626163482666016,1,0,0,1,1.0,1.0,1.0,0.5194422049175235
face_landmarking_rpi.csv,audio_classification.csv,0.04454541206359863,1,0,0,1,1.0,1.0,1.0,0.4581538469217307
face_landmarking_rpi.csv,audio_classification_rpi.csv,0.04461789131164551,1,0,0,1,1.0,1.0,1.0,0.41639518713657026
face_landmarking_rpi.csv,face_detection.csv,0.042989492416381836,1,0,0,1,1.0,1.0,1.0,0.4431933366107476
face_landmarking_rpi.csv,face_detection_rpi.csv,0.044071197509765625,1,0,0,1,1.0,1.0,1.0,0.47719750474435013
face_landmarking_rpi.csv,face_landmarking.csv,0.04413914680480957,1,0,0,1,1.0,1.0,1.0,0.42936565243956903
face_landmarking_rpi.csv,gesture_recognition.csv,0.04556989669799805,1,0,0,1,1.0,1.0,1.0,0.42736892564522017
face_landmarking_rpi.csv,gesture_recognition_rpi.csv,0.046065330505371094,1,0,0,1,1.0,1.0,1.0,0.43505900573275214
face_landmarking_rpi.csv,hand_landmarking.csv,0.04706072807312012,1,0,0,1,1.0,1.0,1.0,0.46847515167927684
face_landmarking_rpi.csv,hand_landmarking_rpi.csv,0.04933333396911621,1,0,0,1,1.0,1.0,1.0,0.4657831785656865
face_landmarking_rpi.csv,idle1.csv,0.05073857307434082,1,0,0,1,1.0,1.0,1.0,0.4158753286774918
face_landmarking_rpi.csv,idle2.csv,0.05011487007141113,1,0,0,1,1.0,1.0,1.0,0.4459990691568452
face_landmarking_rpi.csv,object_detection.csv,0.04830431938171387,1,0,0,1,1.0,1.0,1.0,0.47259606744273075
face_landmarking_rpi.csv,object_detection_rpi.csv,0.047594308853149414,1,0,0,1,1.0,1.0,1.0,0.4103043177558727
face_landmarking_rpi.csv,pose_landmarking.csv,0.045047760009765625,1,0,0,1,1.0,1.0,1.0,0.4159903537420833
face_landmarking_rpi.csv,pose_landmarking_rpi.csv,0.04703831672668457,1,0,0,1,1.0,1.0,1.0,0.648720120007228
gesture_recognition.csv,audio_classification.csv,0.04582643508911133,1,0,0,1,1.0,1.0,1.0,0.4197659962749029
gesture_recognition.csv,audio_classification_rpi.csv,0.04855990409851074,1,0,0,1,1.0,1.0,1.0,0.489701328418785
gesture_recognition.csv,face_detection.csv,0.045081138610839844,1,0,0,1,1.0,1.0,1.0,0.42069784270160393
gesture_recognition.csv,face_detection_rpi.csv,0.053676605224609375,1,0,0,1,1.0,1.0,1.0,0.4768018492148859
gesture_recognition.csv,face_landmarking.csv,0.043651580810546875,1,0,0,1,1.0,1.0,1.0,0.5342732939808224
gesture_recognition.csv,face_landmarking_rpi.csv,0.04439043998718262,1,0,0,1,1.0,1.0,1.0,0.43019212179470434
gesture_recognition.csv,gesture_recognition_rpi.csv,0.04407501220703125,1,0,0,1,1.0,1.0,1.0,0.4558789183680287
gesture_recognition.csv,hand_landmarking.csv,0.045136451721191406,1,0,0,1,1.0,1.0,1.0,0.4236156286193157
