Train Dataset,Anomaly Dataset,Inference time,tn,tp,fn,fp,Precision,Recall,F1-Score,Threshold
face_detection.csv,pose_landmarking.csv,0.039517879486083984,1,10,0,0,1.0,1.0,1.0,0.40126071622185316
face_landmarking.csv,audio_classification.csv,0.04000043869018555,1,10,0,0,1.0,1.0,1.0,0.4972172221966243
face_landmarking.csv,face_detection.csv,0.041522979736328125,1,10,0,0,1.0,1.0,1.0,0.4355793403160741
face_landmarking.csv,face_landmarking.csv,0.04207277297973633,1,6,4,0,1.0,0.6,0.7499999999999999,0.44088167619041024
face_landmarking.csv,gesture_recognition.csv,0.039946556091308594,1,10,0,0,1.0,1.0,1.0,0.45738175224693495
face_landmarking.csv,hand_landmarking.csv,0.04146838188171387,1,10,0,0,1.0,1.0,1.0,0.4706129133029285
face_landmarking.csv,idle1.csv,0.04003787040710449,1,10,0,0,1.0,1.0,1.0,0.4798737922210785
face_landmarking.csv,idle2.csv,0.04019808769226074,1,10,0,0,1.0,1.0,1.0,0.4075793239316549
face_landmarking.csv,object_detection.csv,0.04457211494445801,1,10,0,0,1.0,1.0,1.0,0.43014272918941815
face_landmarking.csv,pose_landmarking.csv,0.0400700569152832,1,10,0,0,1.0,1.0,1.0,0.4211887398886566
gesture_recognition.csv,audio_classification.csv,0.04052114486694336,1,10,0,0,1.0,1.0,1.0,0.4167055953782326
gesture_recognition.csv,face_detection.csv,0.039999961853027344,1,10,0,0,1.0,1.0,1.0,0.4408102560866365
gesture_recognition.csv,face_landmarking.csv,0.04102969169616699,1,10,0,0,1.0,1.0,1.0,0.4433738090094376
gesture_recognition.csv,gesture_recognition.csv,0.03951716423034668,1,3,7,0,1.0,0.3,0.4615384615384615,0.5065222698086844
gesture_recognition.csv,hand_landmarking.csv,0.041037559509277344,1,10,0,0,1.0,1.0,1.0,0.4709775041545858
gesture_recognition.csv,idle1.csv,0.0390009880065918,1,10,0,0,1.0,1.0,1.0,0.436499490581541
gesture_recognition.csv,idle2.csv,0.03900623321533203,1,10,0,0,1.0,1.0,1.0,0.3928197971896184
gesture_recognition.csv,object_detection.csv,0.04851174354553223,1,10,0,0,1.0,1.0,1.0,0.4732898352399171
gesture_recognition.csv,pose_landmarking.csv,0.03951263427734375,1,10,0,0,1.0,1.0,1.0,0.41858028957146154
hand_landmarking.csv,audio_classification.csv,0.0409998893737793,1,10,0,0,1.0,1.0,1.0,0.386529037388062
hand_landmarking.csv,face_detection.csv,0.04000496864318848,1,10,0,0,1.0,1.0,1.0,0.48600876204792076
hand_landmarking.csv,face_landmarking.csv,0.03999900817871094,1,10,0,0,1.0,1.0,1.0,0.4188288132052811
hand_landmarking.csv,gesture_recognition.csv,0.03900289535522461,1,8,2,0,1.0,0.8,0.888888888888889,0.5492458878999256
hand_landmarking.csv,hand_landmarking.csv,0.039510250091552734,1,9,1,0,1.0,0.9,0.9473684210526316,0.38505095061579175
hand_landmarking.csv,idle1.csv,0.039073944091796875,1,10,0,0,1.0,1.0,1.0,0.4569207819685501
hand_landmarking.csv,idle2.csv,0.03950691223144531,1,10,0,0,1.0,1.0,1.0,0.5712557871691706
hand_landmarking.csv,object_detection.csv,0.0390009880065918,1,10,0,0,1.0,1.0,1.0,0.38344502119063106
hand_landmarking.csv,pose_landmarking.csv,0.0405120849609375,1,10,0,0,1.0,1.0,1.0,0.4216505022353809
idle1.csv,audio_classification.csv,0.04100394248962402,1,10,0,0,1.0,1.0,1.0,0.41996413419528095
idle1.csv,face_detection.csv,0.0415186882019043,1,10,0,0,1.0,1.0,1.0,0.47179942973583044
idle1.csv,face_landmarking.csv,0.03899979591369629,1,10,0,0,1.0,1.0,1.0,0.5149754450001365
idle1.csv,gesture_recognition.csv,0.03952646255493164,1,10,0,0,1.0,1.0,1.0,0.41958506190514777
idle1.csv,hand_landmarking.csv,0.03951263427734375,1,10,0,0,1.0,1.0,1.0,0.4045725832612218
idle1.csv,idle1.csv,0.046523332595825195,1,6,4,0,1.0,0.6,0.7499999999999999,0.458768255859125
idle1.csv,idle2.csv,0.04100942611694336,1,7,3,0,1.0,0.7,0.8235294117647058,0.42530722424612066
idle1.csv,object_detection.csv,0.04003572463989258,1,10,0,0,1.0,1.0,1.0,0.5540458363850499
idle1.csv,pose_landmarking.csv,0.03999638557434082,1,10,0,0,1.0,1.0,1.0,0.4793188745358142
idle2.csv,audio_classification.csv,0.04002642631530762,1,10,0,0,1.0,1.0,1.0,0.4814672152129279
idle2.csv,face_detection.csv,0.04000043869018555,1,10,0,0,1.0,1.0,1.0,0.49706384942855986
idle2.csv,face_landmarking.csv,0.040515899658203125,1,10,0,0,1.0,1.0,1.0,0.5310371711789019
