Train Dataset,Anomaly Dataset,Inference time,tn,tp,fn,fp,Precision,Recall,F1-Score,Threshold
audio_classification.csv,face_detection.csv,0.04023313522338867,1,10,0,0,1.0,1.0,1.0,0.7347385928357412
audio_classification.csv,face_landmarking.csv,0.04289889335632324,1,10,0,0,1.0,1.0,1.0,0.1449571021151159
audio_classification.csv,gesture_recognition.csv,0.04216718673706055,1,10,0,0,1.0,1.0,1.0,0.3373015405558761
audio_classification.csv,hand_landmarking.csv,0.03908681869506836,1,10,0,0,1.0,1.0,1.0,1.168722794207364
audio_classification.csv,idle1.csv,0.04010176658630371,1,10,0,0,1.0,1.0,1.0,0.6343347859158125
audio_classification.csv,idle2.csv,0.03816628456115723,1,10,0,0,1.0,1.0,1.0,0.35587697709002797
audio_classification.csv,object_detection.csv,0.039032936096191406,1,10,0,0,1.0,1.0,1.0,1.7851404075768187
audio_classification.csv,pose_landmarking.csv,0.03903841972351074,1,10,0,0,1.0,1.0,1.0,0.126355583369632
face_detection.csv,audio_classification.csv,0.0400693416595459,1,10,0,0,1.0,1.0,1.0,0.32842517471116756
face_detection.csv,face_landmarking.csv,0.03855013847351074,1,10,0,0,1.0,1.0,1.0,0.3521199692972305
face_detection.csv,gesture_recognition.csv,0.040042877197265625,1,10,0,0,1.0,1.0,1.0,0.37004069255220334
face_detection.csv,hand_landmarking.csv,0.03855490684509277,1,10,0,0,1.0,1.0,1.0,0.5949394724202419
face_detection.csv,idle1.csv,0.03871512413024902,1,10,0,0,1.0,1.0,1.0,0.5036762665328806
face_detection.csv,idle2.csv,0.04007244110107422,1,10,0,0,1.0,1.0,1.0,0.4033663067472899
face_detection.csv,object_detection.csv,0.03836941719055176,1,10,0,0,1.0,1.0,1.0,0.11918567152628196
face_detection.csv,pose_landmarking.csv,0.03903698921203613,1,10,0,0,1.0,1.0,1.0,0.5253440696016661
face_landmarking.csv,audio_classification.csv,0.03958868980407715,1,10,0,0,1.0,1.0,1.0,0.6200509720388665
face_landmarking.csv,face_detection.csv,0.038153886795043945,1,10,0,0,1.0,1.0,1.0,0.34846850833509
face_landmarking.csv,gesture_recognition.csv,0.03906393051147461,1,10,0,0,1.0,1.0,1.0,0.6732425336107499
face_landmarking.csv,hand_landmarking.csv,0.0381009578704834,1,10,0,0,1.0,1.0,1.0,0.8182900543191716
face_landmarking.csv,idle1.csv,0.040035247802734375,1,10,0,0,1.0,1.0,1.0,0.5269545560268761
face_landmarking.csv,idle2.csv,0.039591312408447266,1,10,0,0,1.0,1.0,1.0,0.18680488451874291
face_landmarking.csv,object_detection.csv,0.04003572463989258,1,10,0,0,1.0,1.0,1.0,0.1665582368312427
face_landmarking.csv,pose_landmarking.csv,0.04206109046936035,1,10,0,0,1.0,1.0,1.0,0.3145209555710743
gesture_recognition.csv,audio_classification.csv,0.04062032699584961,1,10,0,0,1.0,1.0,1.0,1.2456658844044652
gesture_recognition.csv,face_detection.csv,0.041139841079711914,1,10,0,0,1.0,1.0,1.0,0.8117558029333762
gesture_recognition.csv,face_landmarking.csv,0.046370506286621094,1,10,0,0,1.0,1.0,1.0,0.1148711479577458
gesture_recognition.csv,hand_landmarking.csv,0.04534149169921875,1,10,0,0,1.0,1.0,1.0,0.5703081500262888
gesture_recognition.csv,idle1.csv,0.03963756561279297,1,10,0,0,1.0,1.0,1.0,0.9773445372967294
gesture_recognition.csv,idle2.csv,0.03907489776611328,1,10,0,0,1.0,1.0,1.0,0.11765087532794596
gesture_recognition.csv,object_detection.csv,0.04006648063659668,1,10,0,0,1.0,1.0,1.0,0.7696328804953516
gesture_recognition.csv,pose_landmarking.csv,0.039070844650268555,1,10,0,0,1.0,1.0,1.0,0.7894876440379712
hand_landmarking.csv,audio_classification.csv,0.038545846939086914,1,10,0,0,1.0,1.0,1.0,0.20616710842102137
hand_landmarking.csv,face_detection.csv,0.03954577445983887,1,10,0,0,1.0,1.0,1.0,0.12071951650277692
hand_landmarking.csv,face_landmarking.csv,0.039606571197509766,1,10,0,0,1.0,1.0,1.0,0.2675335039320425
hand_landmarking.csv,gesture_recognition.csv,0.03775167465209961,1,10,0,0,1.0,1.0,1.0,0.12044579316086011
hand_landmarking.csv,idle1.csv,0.04157686233520508,1,10,0,0,1.0,1.0,1.0,0.2828085004359931
hand_landmarking.csv,idle2.csv,0.0390322208404541,1,10,0,0,1.0,1.0,1.0,0.6667303246617066
hand_landmarking.csv,object_detection.csv,0.040555715560913086,1,10,0,0,1.0,1.0,1.0,0.14618691500917647
hand_landmarking.csv,pose_landmarking.csv,0.03955483436584473,1,10,0,0,1.0,1.0,1.0,0.29562494457968813
idle1.csv,audio_classification.csv,0.043100595474243164,1,10,0,0,1.0,1.0,1.0,1.135617819248831
idle1.csv,face_detection.csv,0.03865623474121094,1,10,0,0,1.0,1.0,1.0,0.1518255192020811
idle1.csv,face_landmarking.csv,0.0390932559967041,1,10,0,0,1.0,1.0,1.0,1.2188218707863974
idle1.csv,gesture_recognition.csv,0.03957772254943848,1,10,0,0,1.0,1.0,1.0,0.33243600688703007
idle1.csv,hand_landmarking.csv,0.04053950309753418,1,10,0,0,1.0,1.0,1.0,0.7632759933985832
idle1.csv,idle2.csv,0.042125701904296875,1,7,3,0,1.0,0.7,0.8235294117647058,0.35724658776756923
idle1.csv,object_detection.csv,0.04302835464477539,1,10,0,0,1.0,1.0,1.0,0.4526522342710797
idle1.csv,pose_landmarking.csv,0.04011082649230957,1,10,0,0,1.0,1.0,1.0,0.3462807379270287
idle2.csv,audio_classification.csv,0.04058122634887695,1,10,0,0,1.0,1.0,1.0,0.5822956033191292
idle2.csv,face_detection.csv,0.04255509376525879,1,10,0,0,1.0,1.0,1.0,0.48024497932547966
idle2.csv,face_landmarking.csv,0.04308342933654785,1,10,0,0,1.0,1.0,1.0,0.14595041605090894
idle2.csv,gesture_recognition.csv,0.04088020324707031,1,10,0,0,1.0,1.0,1.0,0.95738148195883
idle2.csv,hand_landmarking.csv,0.04183816909790039,1,10,0,0,1.0,1.0,1.0,0.9430720855420114
idle2.csv,idle1.csv,0.039568185806274414,1,7,3,0,1.0,0.7,0.8235294117647058,0.3287861010560752
idle2.csv,object_detection.csv,0.16859006881713867,1,10,0,0,1.0,1.0,1.0,0.36262056937117093
idle2.csv,pose_landmarking.csv,0.04270672798156738,1,10,0,0,1.0,1.0,1.0,0.36505866312328944
object_detection.csv,audio_classification.csv,0.04077720642089844,1,10,0,0,1.0,1.0,1.0,0.630084563815775
object_detection.csv,face_detection.csv,0.04015803337097168,1,10,0,0,1.0,1.0,1.0,0.656281387612593
object_detection.csv,face_landmarking.csv,0.0420985221862793,1,10,0,0,1.0,1.0,1.0,0.5363661595504197
object_detection.csv,gesture_recognition.csv,0.03856015205383301,1,10,0,0,1.0,1.0,1.0,0.6929111375044257
object_detection.csv,hand_landmarking.csv,0.03895068168640137,1,10,0,0,1.0,1.0,1.0,0.6395012012549874
object_detection.csv,idle1.csv,0.04018592834472656,1,10,0,0,1.0,1.0,1.0,0.921913846808473
object_detection.csv,idle2.csv,0.03911590576171875,1,10,0,0,1.0,1.0,1.0,0.9191954111759492
object_detection.csv,pose_landmarking.csv,0.03954505920410156,1,10,0,0,1.0,1.0,1.0,0.6046145061920313
pose_landmarking.csv,audio_classification.csv,0.038727760314941406,1,10,0,0,1.0,1.0,1.0,0.5229724760148826
pose_landmarking.csv,face_detection.csv,0.03905034065246582,1,10,0,0,1.0,1.0,1.0,0.2777328731936698
pose_landmarking.csv,face_landmarking.csv,0.04027581214904785,1,10,0,0,1.0,1.0,1.0,0.12141501830437464
pose_landmarking.csv,gesture_recognition.csv,0.044207096099853516,1,10,0,0,1.0,1.0,1.0,0.3028909828923508
pose_landmarking.csv,hand_landmarking.csv,0.04307913780212402,1,10,0,0,1.0,1.0,1.0,0.10720213061955948
pose_landmarking.csv,idle1.csv,0.03856039047241211,1,10,0,0,1.0,1.0,1.0,0.1059996510420121
pose_landmarking.csv,idle2.csv,0.04607272148132324,1,10,0,0,1.0,1.0,1.0,2.0259720636857432
pose_landmarking.csv,object_detection.csv,0.04256439208984375,1,10,0,0,1.0,1.0,1.0,0.16353894054305596
