face_detection_rpi_mem.committed_Committed_AS,face_detection_rpi_system.active_processes_active,face_detection_rpi_system.cpu_user,face_detection_rpi_system.file_nr_used_used,face_detection_rpi_system.processes_running,face_detection_rpi_system.ram_buffers,face_detection_rpi_system.ram_cached,face_detection_rpi_system.ram_free,face_detection_rpi_system.ram_used,Target
3084.727,423,68.27411,4352,9,2.1875,319.8125,90.20312,494.9258,6
3083.848,423,67.75819,4384,9,2.1875,319.8125,85.20703,499.9219,6
3083.848,423,69.87342,4384,9,2.1875,319.8125,92.15625,492.9727,6
3083.848,423,68.39378,4384,13,2.1875,319.8125,85.65234,499.4766,6
3083.848,423,65.48223,4384,8,2.1875,319.8125,91.87109,493.2578,6
3082.969,423,65.81633,4384,8,2.1875,319.8125,91.84766,493.2812,6
3083.863,423,68.8946,4384,13,2.1875,319.8125,92.81641,492.3125,6
3083.848,423,68.28645,4384,10,2.1875,319.8125,86.93359,498.1953,6
3084.727,423,66.41414,4384,8,2.1875,319.957,85.52734,499.457,6
3083.848,423,66.66667,4384,13,2.1875,319.957,89.70312,495.2812,6
3082.969,423,65.31646,4384,11,2.1875,319.957,89.66406,495.3203,6
3083.848,423,65.25,4384,9,2.1875,319.9766,89.33594,495.6289,6
3083.848,423,48.53659,4384,5,2.1875,319.9766,86.84766,498.1172,6
3084.727,423,58.76543,4384,14,2.1875,319.9766,87.16016,497.8047,6
3084.727,423,57.14286,4384,10,2.1875,319.9766,88.0,496.9648,6
3082.969,423,56.42317,4384,14,2.1875,319.9766,87.14453,497.8203,6
3083.848,423,65.64103,4384,13,2.1875,319.9766,89.53516,495.4297,6
3083.848,423,66.49746,4384,14,2.1875,319.9766,85.8125,499.1523,6
3082.09,423,66.83938,4384,16,2.1875,319.9766,88.37109,496.5938,6
3083.848,423,68.87755,4384,12,2.1875,319.9766,87.82812,497.1367,6
3083.848,423,68.04124,4384,12,2.1875,319.9766,86.91406,498.0508,6
3083.848,423,67.51269,4384,13,2.1875,319.9766,84.26172,500.7031,6
3084.727,423,69.54315,4384,13,2.1875,319.9766,87.98438,496.9805,6
3084.727,423,69.87342,4384,11,2.1875,319.9766,89.17188,495.793,6
3083.848,423,66.49351,4384,12,2.1875,319.9766,88.72266,496.2422,6
3083.848,423,64.70588,4384,10,2.1875,320.0742,83.42578,501.4414,6
3083.848,423,69.23077,4352,13,2.1875,320.0781,91.61328,493.25,6
3083.848,423,67.09512,4352,15,2.1875,320.0781,85.76172,499.1016,6
3083.848,423,67.75819,4352,8,2.1875,320.0781,86.66797,498.1953,6
3083.848,423,66.24041,4352,16,2.1875,320.0781,90.96484,493.8984,6
3083.848,423,68.0203,4352,10,2.1875,320.0781,84.69531,500.168,6
3083.848,423,66.40827,4352,8,2.1875,320.0781,90.09766,494.7656,6
3081.922,423,66.32653,4352,16,2.195312,320.0703,87.78906,497.0742,6
3085.77,423,67.7665,4352,11,2.195312,320.0781,85.60156,499.2539,6
3084.891,423,63.35878,4352,11,2.195312,320.0781,85.07812,499.7773,6
3085.77,423,64.28571,4352,9,2.195312,320.0781,86.45312,498.4023,6
3085.77,423,66.91919,4352,10,2.195312,320.0781,87.94922,496.9062,6
3084.891,423,66.66667,4352,9,2.195312,320.0781,84.36719,500.4883,6
3085.77,423,66.24041,4352,12,2.195312,320.0781,90.00391,494.8516,6
3084.727,423,65.99496,4320,11,2.195312,320.0781,84.71094,500.1445,6
3083.789,423,64.63104,4320,9,2.195312,320.0781,89.96094,494.8945,6
3083.789,423,62.75,4320,13,2.195312,320.0781,85.36719,499.4883,6
3083.789,423,61.96474,4320,12,2.195312,320.0781,86.45703,498.3984,6
3083.789,423,60.79404,4320,9,2.195312,320.0781,90.02734,494.8281,6
3084.668,423,57.46835,4320,16,2.195312,320.0781,87.49219,497.3633,6
3083.848,423,54.13534,4320,12,2.195312,320.0781,86.81641,498.0391,6
3083.848,423,63.10433,4320,10,2.195312,320.0781,83.83594,501.0195,6
3083.789,423,65.80977,4320,10,2.195312,320.0781,84.3125,500.543,6
3084.727,423,67.00508,4320,10,2.195312,320.0781,89.50391,495.3516,6
3083.848,423,65.90331,4320,10,2.195312,320.0781,91.85938,492.9961,6
3083.848,423,67.09512,4320,13,2.195312,320.0781,86.18359,498.6719,6
3083.848,423,66.15385,4320,16,2.195312,320.0781,87.48047,497.375,6
3083.848,423,66.32911,4320,17,2.210938,320.0625,88.75781,496.0977,6
3083.848,423,67.27273,4320,10,2.210938,320.0781,85.42188,499.418,6
3084.727,423,66.06684,4320,8,2.210938,320.0781,89.80469,495.0352,6
3083.848,423,67.01031,4320,13,2.210938,320.0781,83.84375,500.9961,6
3082.09,423,66.40827,4320,9,2.210938,320.0781,86.23047,498.6094,6
3084.727,423,64.3038,4320,11,2.210938,320.0781,85.82422,499.0156,6
3083.848,423,65.19481,4320,10,2.210938,320.0781,87.77734,497.0625,6
3084.727,423,66.07143,4320,15,2.210938,320.0781,85.76172,499.0781,6
3083.789,423,66.40625,4320,13,2.21875,320.0781,89.07422,495.7578,6
3083.789,423,66.83544,4320,12,2.21875,320.0781,85.19141,499.6406,6
3083.805,423,68.36735,4320,12,2.21875,320.0781,85.69922,499.1328,6
3083.789,423,65.7289,4320,7,2.21875,320.0781,84.8125,500.0195,6
3083.789,423,66.83673,4320,16,2.21875,320.0781,92.50781,492.3242,6
3083.789,423,66.58098,4320,10,2.21875,320.0781,88.13672,496.6953,6
3083.789,423,66.75127,4320,11,2.21875,320.0781,84.20312,500.6289,6
3084.668,423,64.03061,4320,10,2.21875,320.0781,85.44141,499.3906,6
3084.793,423,67.67677,4320,14,2.21875,320.0781,85.17969,499.6523,6
3084.809,423,64.96164,4320,12,2.21875,320.0781,87.15625,497.6758,6
3083.789,423,64.79592,4320,12,2.21875,320.0781,83.02734,501.8047,6
3083.789,423,63.03797,4320,7,2.21875,320.0781,86.04297,498.7891,6
3084.668,423,64.57286,4320,11,2.21875,320.0781,88.03125,496.8008,6
3083.789,423,62.87879,4320,7,2.21875,320.0781,86.04297,498.7891,6
