timestamp,value
1761664941000,1777.574
1761664942000,1777.574
1761664943000,1777.578
1761664944000,1777.578
1761664945000,1777.578
1761664946000,1777.578
1761664947000,1777.586
1761664948000,1777.586
1761664949000,1777.586
1761664950000,1777.586
1761664951000,1777.586
1761664952000,1777.59
1761664953000,1777.605
1761664954000,1777.637
1761664955000,1777.637
1761664956000,1777.637
1761664957000,1777.676
1761664958000,1777.676
1761664959000,1777.676
1761664960000,1777.676
1761664961000,1777.684
1761664962000,1777.684
1761664963000,1777.809
1761664964000,1777.809
1761664965000,1777.828
1761664966000,1777.828
1761664967000,1777.828
1761664968000,1777.844
1761664969000,1777.844
1761664970000,1777.844
1761664971000,1777.844
1761664972000,1777.887
1761664973000,1777.922
1761664974000,1777.922
1761664975000,1777.922
1761664976000,1777.922
1761664977000,1777.945
1761664978000,1770.195
1761664979000,1770.219
1761664980000,1770.219
1761664981000,1768.594
1761664982000,1768.594
1761664983000,1768.621
1761664984000,1767.895
1761664985000,1767.906
1761664986000,1767.906
1761664987000,1767.906
1761664988000,1767.91
1761664989000,1767.953
1761664990000,1767.953
1761664991000,1767.969
1761664992000,1767.988
1761664993000,1768.012
1761664994000,1768.012
1761664995000,1768.012
1761664996000,1768.074
1761664997000,1768.109
1761664998000,1768.109
1761664999000,1768.109
1761665000000,1768.117
