timestamp,value
1761664941000,21016.32
1761664942000,21031.08
1761664943000,21047.36
1761664944000,21062.73
1761664945000,21079.02
1761664946000,21096.12
1761664947000,21113.59
1761664948000,21129.57
1761664949000,21145.69
1761664950000,21162.75
1761664951000,21178.64
1761664952000,21195.39
1761664953000,21211.25
1761664954000,21226.71
1761664955000,21243.42
1761664956000,21259.59
1761664957000,21274.7
1761664958000,21274.69
1761664959000,21274.75
1761664960000,21274.75
1761664961000,21274.76
1761664962000,21274.76
1761664963000,21274.84
1761664964000,21290.26
1761664965000,21307.27
1761664966000,21324.49
1761664967000,21340.83
1761664968000,21356.41
1761664969000,21373.71
1761664970000,21388.45
1761664971000,21404.18
1761664972000,21420.95
1761664973000,21438.54
1761664974000,21454.42
1761664975000,21471.65
1761664976000,21489.45
1761664977000,21504.33
1761664978000,21320.84
1761664979000,21337.64
1761664980000,21353.08
1761664981000,21217.27
1761664982000,21233.17
1761664983000,21248.74
1761664984000,20946.49
1761664985000,20961.58
1761664986000,20978.35
1761664987000,20995.98
1761664988000,21013.6
1761664989000,21030.02
1761664990000,21046.8
1761664991000,21063.91
1761664992000,21078.41
1761664993000,21094.64
1761664994000,21110.19
1761664995000,21127.64
1761664996000,21140.74
1761664997000,21155.25
1761664998000,21167.99
1761664999000,21183.4
1761665000000,21199.68
