timestamp,value
1761664941000,870.1016
1761664942000,844.2969
1761664943000,838.9414
1761664944000,811.293
1761664945000,797.8672
1761664946000,811.6055
1761664947000,794.6562
1761664948000,766.9531
1761664949000,730.5625
1761664950000,699.5938
1761664951000,735.5977
1761664952000,701.2734
1761664953000,706.1992
1761664954000,697.4883
1761664955000,677.9766
1761664956000,662.0586
1761664957000,602.3047
1761664958000,624.9648
1761664959000,621.5742
1761664960000,625.5508
1761664961000,630.0469
1761664962000,628.1484
1761664963000,593.0234
1761664964000,630.793
1761664965000,590.918
1761664966000,509.3438
1761664967000,522.8477
1761664968000,495.1602
1761664969000,390.6133
1761664970000,421.0664
1761664971000,407.0781
1761664972000,393.5078
1761664973000,363.6562
1761664974000,336.2812
1761664975000,330.7656
1761664976000,366.5547
1761664977000,310.0508
1761664978000,522.9766
1761664979000,494.2578
1761664980000,439.0586
1761664981000,746.1992
1761664982000,534.7969
1761664983000,540.543
1761664984000,1034.2461
1761664985000,928.5586
1761664986000,874.125
1761664987000,969.9805
1761664988000,981.9414
1761664989000,956.9375
1761664990000,947.1758
1761664991000,818.9375
1761664992000,784.0586
1761664993000,807.9023
1761664994000,777.4102
1761664995000,770.3672
1761664996000,687.8516
1761664997000,652.0703
1761664998000,547.1445
1761664999000,562.582
1761665000000,698.8086
