timestamp,value
1761664941000,2316
1761664942000,2317
1761664943000,2317
1761664944000,2317
1761664945000,2317
1761664946000,2317
1761664947000,2317
1761664948000,2317
1761664949000,2317
1761664950000,2317
1761664951000,2317
1761664952000,2317
1761664953000,2312
1761664954000,2311
1761664955000,2311
1761664956000,2311
1761664957000,2301
1761664958000,2301
1761664959000,2297
1761664960000,2303
1761664961000,2301
1761664962000,2301
1761664963000,2363
1761664964000,2367
1761664965000,2362
1761664966000,2362
1761664967000,2317
1761664968000,2324
1761664969000,2325
1761664970000,2325
1761664971000,2325
1761664972000,2325
1761664973000,2319
1761664974000,2319
1761664975000,2319
1761664976000,2319
1761664977000,2320
1761664978000,2320
1761664979000,2327
1761664980000,2320
1761664981000,2320
1761664982000,2313
1761664983000,2312
1761664984000,2312
1761664985000,2312
1761664986000,2311
1761664987000,2311
1761664988000,2311
1761664989000,2311
1761664990000,2311
1761664991000,2311
1761664992000,2311
1761664993000,2312
1761664994000,2312
1761664995000,2312
1761664996000,2312
1761664997000,2312
1761664998000,2328
1761664999000,2316
1761665000000,2313
