timestamp,value
1761664941000,14849.875
1761664942000,14860.922
1761664943000,14849.992
1761664944000,14862.273
1761664945000,14859.41
1761664946000,14828.566
1761664947000,14828.035
1761664948000,14839.762
1761664949000,14860.035
1761664950000,14873.945
1761664951000,14822.051
1761664952000,14839.617
1761664953000,14818.82
1761664954000,14812.039
1761664955000,14814.836
1761664956000,14814.59
1761664957000,14859.191
1761664958000,14836.539
1761664959000,14839.871
1761664960000,14835.895
1761664961000,14831.379
1761664962000,14833.281
1761664963000,14868.199
1761664964000,14815.012
1761664965000,14837.855
1761664966000,14902.211
1761664967000,14872.363
1761664968000,14884.453
1761664969000,14971.699
1761664970000,14926.516
1761664971000,14924.77
1761664972000,14921.527
1761664973000,14933.754
1761664974000,14945.25
1761664975000,14933.531
1761664976000,14879.949
1761664977000,14921.547
1761664978000,14899.855
1761664979000,14911.754
1761664980000,14951.516
1761664981000,14781.812
1761664982000,14977.312
1761664983000,14955.969
1761664984000,14765.238
1761664985000,14855.828
1761664986000,14893.488
1761664987000,14780.004
1761664988000,14750.418
1761664989000,14758.965
1761664990000,14751.941
1761664991000,14863.051
1761664992000,14883.414
1761664993000,14843.312
1761664994000,14858.258
1761664995000,14847.855
1761664996000,14917.207
1761664997000,14938.445
1761664998000,15030.625
1761664999000,14999.781
1761665000000,14847.27
