timestamp,value
1761664941000,45978.14
1761664942000,45978.78
1761664943000,45980.06
1761664944000,45976.34
1761664945000,45975.37
1761664946000,45974.32
1761664947000,45979.59
1761664948000,45976.96
1761664949000,45977.14
1761664950000,45980.18
1761664951000,45979.48
1761664952000,45979.33
1761664953000,45979.89
1761664954000,45977.13
1761664955000,45976.78
1761664956000,45973.69
1761664957000,45789.58
1761664958000,45789.08
1761664959000,45786.22
1761664960000,45897.59
1761664961000,45887.08
1761664962000,45889.73
1761664963000,46352.39
1761664964000,46351.26
1761664965000,46255.63
1761664966000,46255.16
1761664967000,46050.89
1761664968000,46159.8
1761664969000,46256.16
1761664970000,46234.93
1761664971000,46246.77
1761664972000,46211.8
1761664973000,46095.27
1761664974000,46171.73
1761664975000,46158.02
1761664976000,46079.55
1761664977000,46204.52
1761664978000,46207.78
1761664979000,46272.6
1761664980000,46094.2
1761664981000,46094.46
1761664982000,46122.29
1761664983000,46028.0
1761664984000,46022.35
1761664985000,46074.41
1761664986000,46113.09
1761664987000,46036.82
1761664988000,46001.77
1761664989000,45998.86
1761664990000,45997.86
1761664991000,46087.9
1761664992000,46112.43
1761664993000,46086.19
1761664994000,46104.24
1761664995000,46099.54
1761664996000,46153.51
1761664997000,46140.59
1761664998000,46357.95
1761664999000,46174.16
1761665000000,46038.3
