timestamp,value
1761664941000,19856
1761664942000,19896
1761664943000,19896
1761664944000,19816
1761664945000,19896
1761664946000,19936
1761664947000,19936
1761664948000,19856
1761664949000,19816
1761664950000,19816
1761664951000,19896
1761664952000,19856
1761664953000,19896
1761664954000,19896
1761664955000,19816
1761664956000,19776
1761664957000,19456
1761664958000,19496
1761664959000,19416
1761664960000,19416
1761664961000,19456
1761664962000,19416
1761664963000,19976
1761664964000,20056
1761664965000,20096
1761664966000,20096
1761664967000,20056
1761664968000,20016
1761664969000,19976
1761664970000,19936
1761664971000,19896
1761664972000,19856
1761664973000,19856
1761664974000,19856
1761664975000,19896
1761664976000,19936
1761664977000,20056
1761664978000,20016
1761664979000,19976
1761664980000,20016
1761664981000,19976
1761664982000,20056
1761664983000,19896
1761664984000,19856
1761664985000,19936
1761664986000,19896
1761664987000,19936
1761664988000,19816
1761664989000,19776
1761664990000,19896
1761664991000,19856
1761664992000,19896
1761664993000,19856
1761664994000,19936
1761664995000,19936
1761664996000,19976
1761664997000,20056
1761664998000,20096
1761664999000,20056
1761665000000,19976
