pose_landmarking_rpi_mem.committed_Committed_AS,pose_landmarking_rpi_system.active_processes_active,pose_landmarking_rpi_system.cpu_user,pose_landmarking_rpi_system.file_nr_used_used,pose_landmarking_rpi_system.processes_running,pose_landmarking_rpi_system.ram_buffers,pose_landmarking_rpi_system.ram_cached,pose_landmarking_rpi_system.ram_free,pose_landmarking_rpi_system.ram_used,Target
3240.086,422,75.63452,4384,10,3.3125,178.4219,169.5312,555.8633,10
3240.086,422,74.55919,4384,15,3.3125,178.4219,169.6094,555.7852,10
3240.086,421,74.0458,4384,8,3.320312,178.4141,167.48438,557.9102,10
3240.086,421,75.6962,4384,13,3.320312,178.4219,164.10156,561.2852,10
3240.086,421,75.37688,4384,14,3.320312,178.4219,172.5508,552.8359,10
3240.086,421,73.16456,4384,14,3.320312,178.4219,167.26953,558.1172,10
3240.086,421,68.84422,4384,13,3.320312,178.4219,172.6406,552.7461,10
3240.086,421,67.7665,4384,11,3.320312,178.4219,166.76562,558.6211,10
3240.086,421,70.81218,4384,18,3.320312,178.4219,168.4375,556.9492,10
3240.086,421,73.0,4384,12,3.320312,178.4219,172.5234,552.8633,10
3240.086,421,76.07053,4384,16,3.320312,178.4219,166.50781,558.8789,10
3240.086,421,71.21212,4384,15,3.320312,178.4219,166.75391,558.6328,10
3240.086,421,66.83417,4384,11,3.328125,178.4219,168.2305,557.1484,10
3241.219,424,64.25,4384,15,3.328125,178.4219,164.82422,560.5547,10
3240.086,421,60.0,4352,12,3.328125,178.4219,165.4375,559.9414,10
3240.086,421,66.49874,4352,10,3.328125,178.4219,162.18359,563.1953,10
3240.086,421,69.66581,4352,8,3.328125,178.4219,167.73047,557.6484,10
3240.086,421,75.94937,4352,8,3.328125,178.4219,163.16406,562.2148,10
3240.086,421,74.43609,4352,14,3.328125,178.4219,163.42188,561.957,10
3240.906,421,73.86935,4352,7,3.328125,178.4219,163.36719,562.0117,10
3240.086,419,71.75573,4352,11,3.328125,178.4219,162.61328,562.7656,10
3240.086,419,72.54408,4352,11,3.328125,178.4219,164.08984,561.2891,10
3240.086,419,73.65729,4352,12,3.328125,178.4219,165.47656,559.9023,10
3240.086,419,71.21212,4352,9,3.328125,178.4219,160.70312,564.6758,10
3240.086,419,75.38071,4352,8,3.328125,178.4219,163.24219,562.1367,10
3240.086,419,70.78086,4352,11,3.335938,178.4219,163.85156,561.5195,10
3240.086,419,75.8794,4352,15,3.335938,178.4219,165.76562,559.6055,10
3240.086,419,73.28244,4352,12,3.335938,178.4219,166.26953,559.1016,10
3240.086,419,72.05128,4320,13,3.335938,178.4219,162.16797,563.2031,10
3240.102,419,71.03275,4320,15,3.335938,178.4219,162.75,562.6211,10
3240.086,419,69.26952,4320,13,3.335938,178.4219,163.71875,561.6523,10
3240.086,419,73.5369,4320,13,3.335938,178.4219,159.84766,565.5234,10
3240.086,419,74.0458,4320,12,3.335938,178.4219,165.49219,559.8789,10
3240.086,419,73.73737,4320,19,3.335938,178.4219,166.69531,558.6758,10
3240.086,419,68.10127,4320,9,3.335938,178.4219,162.03516,563.3359,10
3240.086,419,69.97455,4320,8,3.335938,178.4219,158.33203,567.0391,10
3240.086,419,69.13265,4320,14,3.335938,178.4219,161.65234,563.7188,10
3240.086,419,69.52141,4320,8,3.34375,178.4141,164.46875,560.9023,10
3240.086,419,69.79695,4320,10,3.34375,178.4219,163.83984,561.5234,10
3240.086,419,72.36181,4352,15,3.34375,178.4219,165.50391,559.8594,10
3240.086,419,67.9198,4352,12,3.34375,178.4219,161.56641,563.7969,10
3240.086,419,68.18182,4352,14,3.34375,178.4219,159.35547,566.0078,10
3240.086,419,65.83541,4352,11,3.34375,178.4219,162.70703,562.6562,10
3240.086,419,64.57286,4352,9,3.34375,178.4219,167.67969,557.6836,10
3240.086,419,61.90476,4352,8,3.34375,178.4219,162.86719,562.4961,10
3240.086,419,67.34177,4352,12,3.351562,178.4141,161.91016,563.4531,10
3240.086,419,69.79695,4352,11,3.351562,178.5,166.86719,558.4102,10
3240.086,419,74.0458,4352,11,3.351562,178.5,162.02734,563.25,10
3240.086,420,75.19182,4352,14,3.351562,178.5,158.60938,566.668,10
3240.102,420,73.73737,4352,11,3.351562,178.5,159.38281,565.8945,10
3240.086,420,76.02041,4352,18,3.351562,178.5,164.73047,560.5469,10
3240.086,420,72.18045,4352,14,3.351562,178.5,159.41016,565.8672,10
3240.086,417,74.55471,4352,12,3.351562,178.5,161.46094,563.8164,10
3240.086,417,69.13265,4352,9,3.351562,178.5,163.26953,562.0078,10
3240.086,417,73.79135,4352,15,3.351562,178.5,160.17578,565.1016,10
3240.086,417,70.45455,4352,13,3.351562,178.5,161.00391,564.2734,10
3240.086,417,69.89796,4352,9,3.351562,178.5,160.60156,564.6758,10
3240.086,417,71.82741,4352,11,3.351562,178.5,166.66016,558.6172,10
3240.086,417,70.02519,4352,11,3.351562,178.5547,163.99609,561.2266,10
3240.086,417,69.97455,4352,11,3.351562,178.5547,165.38672,559.8359,10
3240.086,417,71.8593,4352,12,3.351562,178.5547,163.54297,561.6797,10
3240.086,417,70.73791,4352,9,3.351562,178.5547,164.82031,560.4023,10
3240.086,417,72.05128,4352,13,3.351562,178.5547,164.14062,561.082,10
3240.086,417,70.48346,4352,13,3.351562,178.5547,160.77734,564.4453,10
3240.086,417,73.11558,4352,10,3.359375,178.5469,157.58203,567.6406,10
3240.086,417,70.15306,4352,10,3.359375,178.5547,161.125,564.0898,10
3240.086,417,70.15306,4352,8,3.359375,178.5547,159.34766,565.8672,10
3240.086,417,68.76574,4352,6,3.359375,178.5547,165.15234,560.0625,10
3240.086,417,72.22222,4352,15,3.363281,178.5547,164.0625,561.1484,10
3240.086,417,71.9697,4352,10,3.363281,178.5547,159.96484,565.2461,10
3240.086,417,69.52141,4352,13,3.363281,178.5547,157.17578,568.0352,10
3240.086,417,68.57855,4352,12,3.363281,178.5547,162.07812,563.1328,10
3240.086,417,68.10127,4352,16,3.371094,178.5469,160.47266,564.7383,10
3240.086,417,60.65163,4352,10,3.371094,178.5547,161.33594,563.8672,10
3240.086,417,62.94416,4352,7,3.371094,178.5547,161.05859,564.1445,10
3240.086,417,72.0403,4352,9,3.371094,178.5547,157.41016,567.793,10
3240.086,418,72.95918,4352,10,3.371094,178.5547,157.08984,568.1133,10
3240.086,418,69.7201,4352,6,3.371094,178.5547,163.10938,562.0938,10
3240.086,418,69.79695,4352,9,3.371094,178.5547,164.25781,560.9453,10
3240.086,418,73.72449,4352,12,3.371094,178.5547,163.71875,561.4844,10
3240.086,418,74.4898,4352,12,3.371094,178.5547,159.89453,565.3086,10
3240.086,418,75.0,4352,15,3.371094,178.5547,157.24219,567.9609,10
3240.086,418,72.26463,4352,14,3.371094,178.5547,156.77344,568.4297,10
3240.086,418,72.44898,4352,18,3.371094,178.5547,162.97266,562.2305,10
3240.086,417,70.73791,4352,11,3.371094,178.5547,161.15234,564.0508,10
3240.086,417,69.19192,4352,11,3.371094,178.5547,161.93359,563.2695,10
3240.086,417,70.63291,4352,11,3.371094,178.5547,164.60938,560.5938,10
3240.086,417,74.93671,4352,13,3.371094,178.5547,165.94531,559.2578,10
3240.086,417,72.51908,4352,9,3.371094,178.5547,160.625,564.5781,10
3240.086,417,71.64557,4352,7,3.371094,178.5547,162.12891,563.0742,10
3240.086,417,73.72449,4352,12,3.371094,178.5547,163.16016,562.043,10
3240.086,417,71.35678,4352,11,3.371094,178.5547,163.91406,561.2891,10
3240.086,417,75.70332,4352,14,3.371094,178.5547,160.44141,564.7617,10
3240.086,417,72.72727,4352,17,3.371094,178.5547,163.26562,561.9375,10
3240.086,417,69.62025,4352,14,3.371094,178.5547,165.11719,560.0859,10
3240.086,417,70.40816,4352,12,3.371094,178.5547,161.41016,563.793,10
3240.086,417,70.63291,4352,9,3.371094,178.5547,157.99609,567.207,10
3240.086,417,72.84264,4384,10,3.371094,178.5547,157.68359,567.5195,10
3240.086,417,75.50505,4384,12,3.371094,178.5547,156.78516,568.418,10
3240.086,417,70.76923,4384,19,3.371094,178.5547,160.49219,564.7109,10
3240.086,417,71.03275,4384,9,3.371094,178.5547,158.05469,567.1484,10
3240.102,418,68.87755,4384,13,3.371094,178.5547,160.85156,564.3516,10
3240.102,419,44.02036,4384,3,3.371094,178.5547,154.80859,570.3945,10
3240.102,420,3.580563,4384,2,3.371094,178.5547,146.6875,578.5156,10
3240.102,420,3.731343,4384,2,3.363281,173.1836,145.48438,585.0977,10
3238.949,420,3.508772,4352,5,1.3671875,149.98828,162.41406,593.3594,10
3238.871,420,7.142857,4352,8,1.3671875,151.62891,157.06641,597.0664,10
3238.898,420,70.76923,4352,9,1.375,151.59766,157.17578,596.9805,10
3239.434,420,68.52792,4352,9,1.3828125,151.71875,152.01562,602.0117,10
3239.438,420,75.06297,4352,9,1.2890625,149.67188,152.65625,603.5117,10
3239.438,420,70.33248,4352,7,1.2890625,145.72266,157.99219,602.125,10
3239.523,420,73.72449,4352,12,1.2890625,145.73047,156.1875,603.9219,10
3239.527,420,69.38776,4352,13,1.1289062,137.78516,171.5469,596.668,10
3239.531,420,70.35176,4352,12,1.3671875,137.82422,167.23438,600.7031,10
3239.531,420,69.48718,4352,9,1.3671875,137.92578,164.15625,603.6797,10
3239.531,420,73.29975,4352,13,1.3671875,137.92578,161.75,606.0859,10
3239.531,420,68.63753,4352,9,1.3671875,137.92578,171.1523,596.6836,10
3239.531,420,72.77354,4352,7,1.3671875,137.92578,168.4805,599.3555,10
3239.531,420,70.1005,4352,10,1.3671875,137.92578,166.29297,601.543,10
3239.531,420,73.02799,4352,13,1.3671875,137.92578,164.00781,603.8281,10
3239.504,420,72.19388,4352,12,1.3671875,138.01172,161.98828,605.7617,10
3239.504,420,71.50127,4352,9,1.3671875,138.01172,163.70703,604.043,10
3239.504,420,69.03553,4352,9,1.3671875,138.01172,159.61719,608.1328,10
3239.504,420,70.91837,4352,13,1.3671875,138.01172,163.78125,603.9688,10
3239.504,420,70.63291,4352,11,1.3671875,138.01172,165.57812,602.1719,10
3239.504,420,72.72727,4352,11,1.3671875,138.01172,165.28125,602.4688,10
3239.504,420,70.92732,4352,14,1.3671875,138.01172,166.44922,601.3008,10
3239.504,420,69.7733,4352,15,1.3671875,138.01172,161.41797,606.332,10
3239.504,420,67.60925,4352,11,1.3671875,138.01172,163.53516,604.2148,10
