gesture_recognition_rpi_mem.committed_Committed_AS,gesture_recognition_rpi_system.active_processes_active,gesture_recognition_rpi_system.cpu_user,gesture_recognition_rpi_system.file_nr_used_used,gesture_recognition_rpi_system.processes_running,gesture_recognition_rpi_system.ram_buffers,gesture_recognition_rpi_system.ram_cached,gesture_recognition_rpi_system.ram_free,gesture_recognition_rpi_system.ram_used,Target
3239.438,430,66.75127,4480,10,9.851562,223.8555,168.8633,504.5586,3
3239.438,430,67.43003,4480,4,9.851562,223.8555,168.4258,504.9961,3
3239.438,430,70.33248,4480,6,9.851562,223.8555,171.7656,501.6562,3
3239.438,430,65.40404,4480,6,9.851562,223.8555,175.1602,498.2617,3
3239.438,430,67.17557,4480,6,9.851562,223.8555,173.7656,499.6562,3
3239.438,430,66.92112,4480,5,9.859375,223.8555,175.8125,497.6094,3
3239.438,430,66.41414,4480,3,9.859375,223.8555,173.2578,500.1562,3
3239.438,430,66.83805,4480,10,9.859375,223.8555,172.8203,500.5938,3
3239.438,430,66.92112,4480,11,9.859375,223.8555,171.918,501.4961,3
3239.438,430,65.40404,4480,10,9.859375,223.8555,171.0156,502.3984,3
3239.438,430,66.58228,4480,12,9.859375,223.8555,169.4023,504.0117,3
3239.438,430,65.40404,4480,9,9.859375,223.8555,167.60547,505.8086,3
3239.438,430,65.25,4480,19,9.859375,223.8555,166.92969,506.4844,3
3239.711,430,66.16541,4480,5,9.859375,223.8555,173.0156,500.3984,3
3239.711,430,59.54774,4480,9,9.859375,223.8555,175.2383,498.1758,3
3239.711,430,61.59601,4480,12,9.859375,223.8555,171.9453,501.4688,3
3239.711,430,55.27638,4480,8,9.859375,223.8555,170.1133,503.3008,3
3239.711,430,55.02513,4480,9,9.859375,223.8555,168.7461,504.668,3
3239.711,430,56.3591,4480,4,9.859375,223.8555,168.5547,504.8594,3
3239.711,430,61.67513,4448,4,9.875,223.8555,167.67969,505.7344,3
3239.711,430,67.09512,4448,8,9.875,223.8555,165.84766,507.5508,3
3239.711,430,66.06218,4448,12,9.875,223.8555,169.832,503.5664,3
3239.711,430,66.83805,4448,10,9.875,223.8555,168.0,505.3984,3
3239.711,430,66.83805,4448,5,9.875,223.8555,168.2734,505.125,3
3241.605,430,65.90331,4448,8,9.882812,223.8555,167.20703,506.1914,3
3241.605,429,63.75321,4448,7,9.882812,223.8555,170.4297,502.9609,3
3241.605,429,66.14987,4448,4,9.882812,223.8555,169.332,504.0586,3
3241.605,429,64.10256,4448,8,9.882812,223.8555,172.25,501.1406,3
3241.605,429,65.56122,4448,10,9.882812,223.8555,170.4727,502.918,3
3241.605,429,66.75325,4448,12,9.882812,223.8555,174.4492,498.9414,3
3241.605,429,65.20619,4448,6,9.882812,223.8555,172.1406,501.25,3
3241.605,429,65.21739,4448,6,9.882812,223.8906,171.2656,502.0898,3
3241.605,429,64.63104,4448,8,9.882812,223.8906,169.6523,503.7031,3
3241.605,429,66.83544,4448,10,9.882812,223.8906,173.6914,499.6641,3
3241.605,429,65.56122,4448,6,9.882812,223.8906,171.832,501.5234,3
3241.605,429,67.34177,4480,9,9.882812,223.8906,170.7383,502.6172,3
3241.605,429,62.65985,4480,13,9.882812,223.8906,169.3711,503.9844,3
3241.605,429,68.60759,4480,8,9.882812,223.8906,172.5586,500.7969,3
3241.605,429,68.5422,4480,9,9.882812,223.8906,170.7695,502.5859,3
3241.605,429,63.79747,4480,4,9.882812,223.8906,169.1562,504.1992,3
3241.605,429,68.42105,4480,11,9.882812,223.8906,170.4648,502.8906,3
3241.605,429,63.97985,4480,5,9.882812,223.8906,169.8086,503.5469,3
3241.605,429,64.89899,4480,10,9.882812,223.8906,168.9062,504.4492,3
3241.605,429,62.56281,4480,12,9.882812,223.8906,179.1016,494.2539,3
3241.605,429,64.32161,4480,11,9.882812,223.8906,176.3359,497.0195,3
3241.605,429,59.79899,4480,5,9.898438,223.8906,175.4336,497.9219,3
3241.605,429,59.54774,4480,12,9.898438,223.8945,173.082,500.2539,3
3241.605,429,58.12808,4480,9,9.898438,223.8906,171.4414,501.8984,3
3241.605,429,50.62972,4480,5,9.898438,223.8906,175.1875,498.1523,3
3241.605,429,59.05707,4480,5,9.898438,223.8906,174.0391,499.3008,3
3241.605,429,64.26735,4512,13,9.90625,223.8906,171.9336,501.4062,3
3241.605,429,64.76684,4512,5,9.90625,223.8906,170.5391,502.793,3
3241.605,429,65.5527,4512,13,9.90625,223.8906,169.4453,503.8867,3
3241.605,428,72.30769,4512,10,9.90625,223.8906,168.2695,505.0625,3
3241.605,428,63.58974,4480,12,9.90625,223.8906,167.832,505.5,3
3241.605,428,66.58031,4480,6,9.90625,223.8906,171.793,501.5391,3
3241.605,428,65.21739,4480,5,9.90625,223.8906,169.6602,503.6719,3
3241.605,428,66.40827,4480,11,9.90625,223.8906,167.29297,506.0391,3
3241.605,428,64.01028,4448,10,9.90625,223.8906,165.19141,508.1406,3
3241.605,428,68.92231,4448,10,9.90625,223.8906,169.3906,503.9414,3
3241.605,428,64.78149,4448,7,9.90625,223.8906,167.13672,506.1953,3
3241.605,428,65.29563,4448,5,9.90625,223.8906,167.16406,506.168,3
3241.605,428,62.72494,4448,7,9.90625,223.8906,166.72656,506.6055,3
3241.605,428,68.26196,4448,12,9.90625,223.8906,170.4961,502.8359,3
3241.605,428,66.75127,4448,8,9.90625,223.8906,168.418,504.9141,3
3241.605,428,65.21739,4480,14,9.90625,223.8906,167.73438,505.5977,3
3241.605,428,63.23907,4480,11,9.90625,223.8906,168.2227,505.1094,3
3241.605,428,67.51269,4480,15,9.90625,223.8906,168.0664,505.2656,3
3241.605,428,66.75127,4480,13,9.90625,223.8906,167.38281,505.9492,3
3241.605,428,65.15152,4480,10,9.90625,223.8906,166.50781,506.8242,3
3241.605,428,68.43434,4480,13,9.90625,223.8906,169.1875,504.1445,3
3241.605,428,67.8481,4480,15,9.90625,223.8906,170.4844,502.8477,3
3241.605,427,67.59494,4480,14,9.90625,223.8906,168.8867,504.4453,3
3241.605,427,63.79747,4480,9,9.90625,223.8906,167.53906,505.793,3
