timestamp,value
1761663022000,4305.508
1761663023000,4301.793
1761663024000,4298.844
1761663025000,4303.426
1761663026000,4299.594
1761663027000,4302.188
1761663028000,4294.246
1761663029000,4294.77
1761663030000,4292.031
1761663031000,4286.699
1761663032000,4286.973
1761663033000,4282.352
1761663034000,4280.688
1761663035000,4285.262
1761663036000,4278.793
1761663037000,4273.77
1761663038000,4267.367
1761663039000,4267.289
1761663040000,4271.492
1761663041000,4269.762
1761663042000,4260.742
1761663043000,4267.141
1761663044000,4263.672
1761663045000,4266.301
1761663046000,4261.012
1761663047000,4256.324
1761663048000,4221.367
1761663049000,4036.012
1761663050000,3695.562
1761663051000,3414.184
1761663052000,3386.422
1761663053000,3569.445
1761663054000,3751.266
1761663055000,3793.734
1761663056000,3716.273
1761663057000,3710.629
1761663058000,3778.852
1761663059000,3784.496
1761663060000,4387.848
1761663061000,4274.648
1761663062000,4391.094
1761663063000,4327.02
1761663064000,4369.945
1761663065000,4433.527
1761663066000,4340.84
1761663067000,4196.324
1761663068000,4244.812
1761663069000,4259.094
1761663070000,4261.266
1761663071000,4295.645
1761663072000,4308.812
1761663073000,4289.402
1761663074000,4284.523
1761663075000,4168.816
1761663076000,4194.953
1761663077000,4129.906
1761663078000,4160.859
1761663079000,4114.527
1761663080000,4072.266
1761663081000,4122.113
