timestamp,value
1761663022000,52177.14
1761663023000,52177.14
1761663024000,52177.14
1761663025000,52177.14
1761663026000,52177.45
1761663027000,52177.45
1761663028000,52177.45
1761663029000,52177.27
1761663030000,52177.73
1761663031000,52177.61
1761663032000,52177.64
1761663033000,52194.52
1761663034000,52194.55
1761663035000,52194.55
1761663036000,52194.55
1761663037000,52194.55
1761663038000,52194.55
1761663039000,52194.55
1761663040000,52194.55
1761663041000,52194.57
1761663042000,52194.57
1761663043000,52194.57
1761663044000,52194.57
1761663045000,52194.57
1761663046000,52194.57
1761663047000,52194.9
1761663048000,52226.8
1761663049000,52404.63
1761663050000,52760.38
1761663051000,52846.48
1761663052000,50334.45
1761663053000,49711.18
1761663054000,49548.28
1761663055000,49492.26
1761663056000,49572.45
1761663057000,49574.73
1761663058000,49512.64
1761663059000,49508.67
1761663060000,49080.78
1761663061000,49206.95
1761663062000,49080.73
1761663063000,49120.57
1761663064000,49090.16
1761663065000,49024.17
1761663066000,49116.76
1761663067000,49240.56
1761663068000,49083.87
1761663069000,50239.02
1761663070000,49154.66
1761663071000,49111.34
1761663072000,49083.23
1761663073000,49271.8
1761663074000,49093.47
1761663075000,49188.36
1761663076000,49178.2
1761663077000,49241.23
1761663078000,49185.57
1761663079000,49672.8
1761663080000,49236.29
1761663081000,49209.79
