timestamp,value
1761663022000,2417
1761663023000,2417
1761663024000,2417
1761663025000,2417
1761663026000,2417
1761663027000,2417
1761663028000,2417
1761663029000,2417
1761663030000,2417
1761663031000,2417
1761663032000,2417
1761663033000,2419
1761663034000,2419
1761663035000,2419
1761663036000,2417
1761663037000,2417
1761663038000,2417
1761663039000,2417
1761663040000,2417
1761663041000,2417
1761663042000,2417
1761663043000,2417
1761663044000,2417
1761663045000,2417
1761663046000,2417
1761663047000,2417
1761663048000,2417
1761663049000,2419
1761663050000,2419
1761663051000,2419
1761663052000,2350
1761663053000,2341
1761663054000,2341
1761663055000,2340
1761663056000,2340
1761663057000,2340
1761663058000,2340
1761663059000,2340
1761663060000,2340
1761663061000,2343
1761663062000,2342
1761663063000,2343
1761663064000,2343
1761663065000,2346
1761663066000,2343
1761663067000,2344
1761663068000,2344
1761663069000,2345
1761663070000,2345
1761663071000,2345
1761663072000,2345
1761663073000,2360
1761663074000,2345
1761663075000,2345
1761663076000,2345
1761663077000,2346
1761663078000,2345
1761663079000,2344
1761663080000,2344
1761663081000,2344
