timestamp,value
1761663022000,15080.25
1761663023000,15080.297
1761663024000,15080.297
1761663025000,15080.297
1761663026000,15080.328
1761663027000,15080.328
1761663028000,15080.328
1761663029000,15080.328
1761663030000,15080.297
1761663031000,15080.297
1761663032000,15080.297
1761663033000,15080.297
1761663034000,15080.297
1761663035000,15080.297
1761663036000,15080.297
1761663037000,15080.297
1761663038000,15080.297
1761663039000,15080.297
1761663040000,15080.297
1761663041000,15080.305
1761663042000,15080.297
1761663043000,15080.297
1761663044000,15080.297
1761663045000,15080.297
1761663046000,15080.297
1761663047000,15080.297
1761663048000,15080.297
1761663049000,15080.332
1761663050000,15080.344
1761663051000,15080.184
1761663052000,15080.32
1761663053000,15079.582
1761663054000,15079.547
1761663055000,15079.547
1761663056000,15079.547
1761663057000,15079.547
1761663058000,15079.547
1761663059000,15079.547
1761663060000,15079.547
1761663061000,15079.555
1761663062000,15079.555
1761663063000,15079.555
1761663064000,15079.559
1761663065000,15079.559
1761663066000,15079.531
1761663067000,15079.535
1761663068000,15079.527
1761663069000,15079.555
1761663070000,15079.559
1761663071000,15079.559
1761663072000,15079.562
1761663073000,15079.574
1761663074000,15079.574
1761663075000,15079.578
1761663076000,15079.582
1761663077000,15079.602
1761663078000,15079.609
1761663079000,15079.609
1761663080000,15079.605
1761663081000,15079.621
