timestamp,value
1761663022000,17404.7
1761663023000,17408.36
1761663024000,17411.31
1761663025000,17406.73
1761663026000,17410.53
1761663027000,17407.93
1761663028000,17415.87
1761663029000,17415.35
1761663030000,17418.12
1761663031000,17423.45
1761663032000,17423.18
1761663033000,17427.79
1761663034000,17429.45
1761663035000,17424.88
1761663036000,17431.35
1761663037000,17436.37
1761663038000,17442.77
1761663039000,17442.84
1761663040000,17438.64
1761663041000,17440.34
1761663042000,17449.35
1761663043000,17442.95
1761663044000,17446.42
1761663045000,17443.79
1761663046000,17449.08
1761663047000,17453.77
1761663048000,17488.73
1761663049000,17674.04
1761663050000,18014.48
1761663051000,18296.0
1761663052000,18323.56
1761663053000,18141.16
1761663054000,17959.37
1761663055000,17916.9
1761663056000,17994.35
1761663057000,18000.0
1761663058000,17931.75
1761663059000,17926.09
1761663060000,17322.74
1761663061000,17435.93
1761663062000,17319.48
1761663063000,17383.56
1761663064000,17340.63
1761663065000,17277.04
1761663066000,17369.74
1761663067000,17514.2
1761663068000,17465.66
1761663069000,17451.35
1761663070000,17449.18
1761663071000,17414.79
1761663072000,17401.62
1761663073000,17421.01
1761663074000,17425.89
1761663075000,17541.59
1761663076000,17515.45
1761663077000,17580.48
1761663078000,17549.51
1761663079000,17595.84
1761663080000,17638.09
1761663081000,17588.23
