timestamp,value
1761663022000,6.995471
1761663023000,7.160867
1761663024000,7.139266
1761663025000,6.93816
1761663026000,7.142857
1761663027000,7.135678
1761663028000,7.15005
1761663029000,7.092555
1761663030000,7.139266
1761663031000,7.189542
1761663032000,7.290096
1761663033000,7.308468
1761663034000,6.93119
1761663035000,6.700252
1761663036000,7.038713
1761663037000,7.045798
1761663038000,7.355164
1761663039000,7.049345
1761663040000,7.286432
1761663041000,7.096125
1761663042000,7.081868
1761663043000,7.157258
1761663044000,7.243461
1761663045000,7.088989
1761663046000,6.952141
1761663047000,6.990881
1761663048000,7.501267
1761663049000,9.049545
1761663050000,11.516996
1761663051000,18.67409
1761663052000,14.235056
1761663053000,10.035479
1761663054000,15.677321
1761663055000,9.680689
1761663056000,16.322418
1761663057000,15.544304
1761663058000,16.540212
1761663059000,12.179165
1761663060000,16.8437
1761663061000,13.235294
1761663062000,8.883249
1761663063000,11.330298
1761663064000,9.344845
1761663065000,8.72211
1761663066000,18.82887
1761663067000,16.96293
1761663068000,20.07096
1761663069000,17.57852
1761663070000,18.64578
1761663071000,10.050761
1761663072000,14.749113
1761663073000,16.725619
1761663074000,16.616162
1761663075000,21.8607
1761663076000,15.045593
1761663077000,23.1627
1761663078000,21.08464
1761663079000,18.26972
1761663080000,20.64614
1761663081000,17.58464
