timestamp,value
1761663022000,21496
1761663023000,21416
1761663024000,21416
1761663025000,21456
1761663026000,21456
1761663027000,21496
1761663028000,21456
1761663029000,21456
1761663030000,21456
1761663031000,21456
1761663032000,21456
1761663033000,21496
1761663034000,21496
1761663035000,21536
1761663036000,21536
1761663037000,21496
1761663038000,21496
1761663039000,21496
1761663040000,21536
1761663041000,21536
1761663042000,21496
1761663043000,21496
1761663044000,21496
1761663045000,21456
1761663046000,21456
1761663047000,21456
1761663048000,21456
1761663049000,21576
1761663050000,21616
1761663051000,21576
1761663052000,21656
1761663053000,21616
1761663054000,21576
1761663055000,21536
1761663056000,21576
1761663057000,21576
1761663058000,21456
1761663059000,21456
1761663060000,21336
1761663061000,21296
1761663062000,21296
1761663063000,21216
1761663064000,21176
1761663065000,21216
1761663066000,21296
1761663067000,21256
1761663068000,21216
1761663069000,21096
1761663070000,21176
1761663071000,21216
1761663072000,21176
1761663073000,21216
1761663074000,21176
1761663075000,21296
1761663076000,21336
1761663077000,21296
1761663078000,21296
1761663079000,21296
1761663080000,21296
1761663081000,21336
