timestamp,value
1761663022000,1723.418
1761663023000,1723.418
1761663024000,1723.418
1761663025000,1723.418
1761663026000,1723.418
1761663027000,1723.426
1761663028000,1723.426
1761663029000,1723.426
1761663030000,1723.426
1761663031000,1723.426
1761663032000,1723.426
1761663033000,1723.434
1761663034000,1723.434
1761663035000,1723.434
1761663036000,1723.434
1761663037000,1723.434
1761663038000,1723.441
1761663039000,1723.441
1761663040000,1723.441
1761663041000,1723.465
1761663042000,1723.48
1761663043000,1723.48
1761663044000,1723.48
1761663045000,1723.48
1761663046000,1723.48
1761663047000,1723.48
1761663048000,1723.48
1761663049000,1723.484
1761663050000,1723.484
1761663051000,1723.5
1761663052000,1723.57
1761663053000,1723.684
1761663054000,1723.691
1761663055000,1723.691
1761663056000,1723.699
1761663057000,1723.699
1761663058000,1723.723
1761663059000,1723.738
1761663060000,1723.738
1761663061000,1723.738
1761663062000,1723.738
1761663063000,1723.738
1761663064000,1723.738
1761663065000,1723.742
1761663066000,1723.762
1761663067000,1723.816
1761663068000,1723.871
1761663069000,1723.871
1761663070000,1723.871
1761663071000,1723.879
1761663072000,1723.879
1761663073000,1723.887
1761663074000,1723.887
1761663075000,1723.887
1761663076000,1723.887
1761663077000,1723.887
1761663078000,1723.895
1761663079000,1723.895
1761663080000,1723.91
1761663081000,1723.91
